"project_name","commit_timestamp","commit_hash","loc","mc","ms","ml","me","ma","cc","cs","cl","ca","fa","tc","ts","tl","ta","uch","uunch","loc_catch","loc_finally","caught_exception"
"elasticsearch","2010-07-05 23:12:40","d4f86899e3fb23240723ec644f5528a99c118390",98608,"583","1949","1","2532","10556","60","717","23","800","143","476","280","0","822","0","116","929","272","311"
"elasticsearch","2010-10-07 01:49:12","cf5ed1d177611c7a34e6f8cbd494d5b6175509f5",124261,"641","2331","25","2996","12487","68","848","23","939","164","534","328","7","934","0","122","1139","298","400"
"elasticsearch","2011-01-08 02:19:49","8de7beadc8267cd9a8e068ec13421499441d8bed",145465,"685","2693","25","3402","14417","99","957","24","1080","190","658","330","7","1066","0","130","1305","319","480"
"elasticsearch","2011-04-11 20:10:56","e8503c1455bdd5e5ebfa869befd839aba2fc6715",163211,"711","2916","31","3652","15794","117","1058","29","1204","197","763","345","8","1192","0","132","1418","350","554"
"elasticsearch","2011-07-14 02:04:58","848638d53c6feafecedeb65d3d0000a023898121",188419,"790","3135","32","3950","18188","161","1182","36","1379","237","849","442","8","1415","1","141","1596","396","596"
"elasticsearch","2011-10-15 15:35:14","72ad72248034b2368c8931bb08bc060c73d6e701",201734,"841","3318","32","4184","19314","181","1251","34","1466","247","890","447","8","1472","1","145","1740","416","631"
"elasticsearch","2012-01-17 11:58:30","c2ef91afe6e7ea03ab112cb94415ac548f08ee1a",202117,"754","3312","6","4066","18793","194","1181","22","1397","211","890","382","0","1418","1","145","1695","374","595"
"elasticsearch","2012-04-19 16:28:14","98b1f368f5e54f73604000113fdb427cd90297d8",206720,"758","3321","6","4079","19090","195","1206","23","1424","236","1024","386","0","1558","1","146","1737","404","615"
"elasticsearch","2012-07-22 22:28:39","90e94ebab939a0b589b3c525c3c53f628b6e351c",223570,"769","3584","6","4353","20561","200","1294","23","1517","335","1074","534","1","1766","1","149","1913","571","653"
"elasticsearch","2012-10-24 01:41:46","d8013aecc353aa2cbd1a553feaf15c5eb232988b",233149,"800","3764","6","4564","21212","230","1336","23","1589","353","1190","558","1","1909","1","149","1976","596","675"
"elasticsearch","2013-01-28 11:29:32","bfdf8fe5905553e0b60046c2973d3829947a979c",245567,"803","3825","3","4628","22552","248","1342","20","1610","342","1247","529","1","1945","1","150","2026","569","678"
"elasticsearch","2013-05-01 12:53:31","0d3b7871dfef6cd8f883c9aadf7f2113ea2dbac7",261626,"826","4176","4","5004","22553","279","1478","25","1782","380","1334","699","4","2198","1","148","2071","576","603"
"elasticsearch","2013-08-02 22:01:35","f2168d32c1d54800d32173488e0a9d9140549bf5",277604,"858","4463","4","5323","23652","279","1427","25","1731","374","1380","669","4","2186","1","149","2128","575","498"
"elasticsearch","2013-11-05 11:54:25","0ef2493b2c2ce7f5845736e1e5f501fd5ae1a182",303985,"906","4975","4","5883","25562","301","1510","26","1837","419","1467","783","4","2395","1","149","2318","636","385"
"elasticsearch","2014-02-06 12:01:00","728e0e2a2eb4cbb93b87fc22a3e84fddea2a0635",361688,"989","6170","5","7161","30037","405","1620","27","2052","462","1777","873","10","2814","3","162","2578","711","389"
"elasticsearch","2014-05-10 13:09:30","4fefe628b027c8eb37b9bd592fabda7af477a633",371176,"978","6832","2","7810","31043","443","1275","33","1751","335","1899","617","5","2684","3","163","2168","581","305"
"elasticsearch","2014-08-11 17:55:31","ca5a17e4ba69d43012c829f10385a8d75816edbf",411426,"1026","7536","65","8627","33533","538","1397","90","2025","459","2011","825","10","3070","4","169","2625","687","330"
"elasticsearch","2014-11-12 17:21:19","7e72800c837881f2c11ac10971c385e1142703e5",414315,"1031","7960","3","8994","33738","605","1436","79","2120","377","2055","710","17","2973","7","174","2642","654","333"
"elasticsearch","2015-02-13 23:55:35","5092904885eb378625f513a561100546be1ee993",423829,"989","8449","4","9442","34104","629","1438","94","2161","393","2129","710","22","3064","7","174","2688","679","325"
"elasticsearch","2015-05-18 11:06:36","f039c5de7ab9d413cadfa8d679f69a92e309111e",431975,"513","8913","16","9442","33824","538","1586","102","2226","450","1361","1537","32","3148","7","174","2781","744","308"
"elasticsearch","2015-08-19 12:13:01","8454d4955292c10fa875a97a8ccfb8d4e6c6d53f",466176,"486","9623","123","10226","36276","589","1762","125","2476","483","1484","1763","40","3553","7","162","3156","770","328"
"elasticsearch","2015-11-20 11:17:56","18c9eba40a044df0e4601e2438239f714a93a9e5",481559,"442","10184","372","10990","37857","718","2069","156","2943","472","1482","2445","39","4243","8","158","3590","747","303"
"elasticsearch","2016-02-21 11:26:22","2e3160824ca1f59cf23138e1691a87a60891e8f3",531694,"419","11251","402","12062","41792","781","2539","223","3543","494","1463","3144","70","4997","10","162","4187","757","302"
"elasticsearch","2016-05-24 13:28:20","1f011f9deaa27a8634bf75d2417bf1c2551d811e",558473,"429","11813","401","12633","43309","785","2352","214","3351","467","1523","3279","76","5227","10","160","4200","728","316"
"elasticsearch","2016-08-25 13:37:14","b521638f52b359de7a25f5d7719e0ec9e87d3cad",605045,"431","12563","422","13406","46706","743","2438","229","3410","521","1562","3442","94","5726","15","160","4650","838","782"
"elasticsearch","2016-11-26 13:18:26","c1fa80d40fba1afdc86520568718bae3273ad6ea",621118,"454","13030","420","13896","47695","618","2375","230","3223","527","1545","3664","100","5957","16","160","4437","856","753"
"hibernate-search","2007-12-01 03:10:49","33d6ad0745b8fafb80e16bb999a764c055180b6f",14470,"0","112","122","234","1348","9","119","13","141","29","83","66","46","205","0","1","171","46","20"
"hibernate-search","2008-03-07 18:17:13","98767ccb8abb22e94a7055a4991189eea86d2f7c",14974,"0","115","122","237","1391","9","125","10","144","29","85","67","46","211","0","1","178","46","22"
"hibernate-search","2008-06-09 18:58:31","2e54c4cbca5195e07edd806a2bc7ceef2f6d646a",16842,"0","155","123","278","1599","10","144","10","164","29","104","96","37","250","0","1","211","46","32"
"hibernate-search","2008-09-14 20:25:52","ee756e6ff98b806f94a93f71fc2402e128ee8d3c",19375,"0","180","123","303","1831","14","157","11","182","35","114","125","43","294","0","1","227","59","36"
"hibernate-search","2008-12-18 14:24:48","a2b768269ffebe95951a897803d62be2ea50b4b2",23229,"0","244","91","335","2114","14","168","11","193","37","125","133","52","320","0","1","233","60","39"
"hibernate-search","2009-03-26 14:38:55","2de239b0cc8b7d254c05a97716bbb0d72521bf87",24304,"0","247","94","341","2210","14","174","12","200","37","136","136","51","333","0","1","245","60","39"
"hibernate-search","2009-07-02 00:55:25","b0705f4d3b69a6ba01c03bf78a0c9bff2dab3436",27578,"0","294","94","388","2519","15","170","14","199","56","130","144","48","332","0","1","248","79","39"
"hibernate-search","2009-10-16 14:32:50","cd05ea8c1244bc3d118a15a7a919a4aef7004ab8",28864,"0","311","96","407","2648","15","177","18","210","56","137","144","48","340","0","1","265","79","44"
