"project_name","commit_timestamp","commit_hash","loc","mc","ms","ml","me","ma","cc","cs","cl","ca","fa","tc","ts","tl","ta","uch","uunch","loc_catch","loc_finally","caught_exception"
"elasticsearch","2010-07-05 23:12:40","d4f86899e3fb23240723ec644f5528a99c118390",98608,"583","1995","1","2532","10556","51","704","21","800","143","476","280","66","822","0","116","929","272","291"
"elasticsearch","2010-10-07 01:49:12","cf5ed1d177611c7a34e6f8cbd494d5b6175509f5",124261,"641","2382","25","2996","12487","58","835","22","939","164","534","330","72","934","0","122","1139","298","379"
"elasticsearch","2011-01-08 02:19:49","8de7beadc8267cd9a8e068ec13421499441d8bed",145465,"685","2752","25","3402","14417","92","942","23","1080","190","658","332","78","1066","0","130","1305","319","461"
"elasticsearch","2011-04-11 20:10:56","e8503c1455bdd5e5ebfa869befd839aba2fc6715",163211,"711","2976","31","3652","15794","108","1035","28","1204","197","763","348","84","1192","0","132","1418","350","526"
"elasticsearch","2011-07-14 02:04:58","848638d53c6feafecedeb65d3d0000a023898121",188419,"790","3207","32","3950","18188","152","1160","35","1379","237","849","456","124","1415","1","141","1596","396","567"
"elasticsearch","2011-10-15 15:35:14","72ad72248034b2368c8931bb08bc060c73d6e701",201734,"841","3393","32","4184","19314","170","1228","33","1466","247","890","461","135","1472","1","145","1740","416","601"
"elasticsearch","2012-01-17 11:58:30","c2ef91afe6e7ea03ab112cb94415ac548f08ee1a",202117,"754","3388","6","4066","18793","183","1150","22","1397","211","890","393","146","1418","1","145","1695","374","565"
"elasticsearch","2012-04-19 16:28:14","98b1f368f5e54f73604000113fdb427cd90297d8",206720,"758","3399","6","4079","19090","184","1175","23","1424","236","1024","398","148","1558","1","146","1737","404","584"
"elasticsearch","2012-07-22 22:28:39","90e94ebab939a0b589b3c525c3c53f628b6e351c",223570,"769","3662","6","4353","20561","188","1261","23","1517","335","1074","546","158","1766","1","149","1913","571","619"
"elasticsearch","2012-10-24 01:41:46","d8013aecc353aa2cbd1a553feaf15c5eb232988b",233149,"800","3847","6","4564","21212","218","1301","23","1589","353","1190","570","161","1909","1","149","1976","596","640"
"elasticsearch","2013-01-26 15:11:14","360d7d942529b91d58ef0567dc3b8dcbc7a5060b",245572,"803","3911","3","4628","22560","236","1306","20","1610","342","1244","541","169","1942","1","149","2023","569","644"
"elasticsearch","2013-04-30 14:06:57","8c6ba59b83ec750fe118174c4d5b255c4b7f2170",261270,"825","4270","4","4997","22537","264","1437","25","1777","380","1331","711","165","2195","1","148","2069","576","567"
"elasticsearch","2013-08-01 14:09:41","31fd7764e782384e3a278815dbd2a7c3cf065ed5",277033,"858","4573","4","5318","23616","268","1382","25","1729","373","1380","681","137","2186","1","150","2124","574","465"
"elasticsearch","2014-02-03 16:27:02","bd8cb4eb1b2ad65f49f55b8f2e646759c15cc49b",361546,"989","6337","5","7157","30020","388","1570","26","2052","462","1776","881","163","2808","3","162","2578","711","367"
"elasticsearch","2014-05-07 18:08:11","743dc19acbfe69b3c64cda69d4d77b3c6efc58d7",370408,"978","7001","2","7799","30970","427","1250","32","1750","335","1897","629","168","2682","3","161","2166","583","286"
"elasticsearch","2014-08-08 18:09:28","99ae3066de6575694298eeb1079229645af3971b",411569,"1026","7725","62","8618","33550","522","1371","86","2027","456","2010","837","234","3065","4","169","2627","687","311"
"elasticsearch","2014-11-09 19:27:45","1368229075fd33f7366a91e7218c3ba72d33d35c",413599,"1031","8140","3","8977","33710","586","1398","74","2115","376","2057","727","207","2975","7","174","2636","650","310"
"elasticsearch","2015-02-10 22:53:04","9c847db8af0ba4967f187aac7438511bc30499e6",423477,"992","8592","4","9384","34115","609","1414","88","2167","386","2119","726","228","3056","7","174","2679","673","304"
"elasticsearch","2015-05-15 00:21:07","91aeea9c66cffd2bf7392419825a84f45ee80201",430206,"510","9023","16","9394","33684","524","1544","96","2220","449","1355","1552","248","3139","7","174","2771","743","283"
"elasticsearch","2015-08-16 00:42:03","062e038360ba93a7802e32c182eeaa18dbc6e787",465661,"484","9785","123","10218","36260","571","1718","114","2457","484","1474","1779","304","3531","6","162","3103","771","304"
